Date,Coordinates,Value
2024-07-01,"626522.668, 5802461.453",281.9
2024-07-01,"627130.645, 5802461.453",282.968
2024-07-01,"627738.621, 5802461.453",282.968
2024-07-01,"628346.596, 5802461.453",288.262
2024-07-01,"626522.668, 5801468.468",279.218
2024-07-01,"627130.645, 5801468.468",279.218
2024-07-01,"627738.621, 5801468.468",282.116
2024-07-01,"628346.596, 5801468.468",288.262
2024-06-01,"626522.668, 5802461.453",285.186
2024-06-01,"627130.645, 5802461.453",285.562
2024-06-01,"627738.621, 5802461.453",285.03
2024-06-01,"628346.596, 5802461.453",285.514
2024-06-01,"626522.668, 5801468.468",285.186
2024-06-01,"627130.645, 5801468.468",285.2
2024-06-01,"627738.621, 5801468.468",285.164
2024-06-01,"628346.596, 5801468.468",285.164
2024-04-01,"626522.668, 5802461.453",269.95154
2024-04-01,"627130.645, 5802461.453",270.03088
2024-04-01,"627738.621, 5802461.453",270.2292
2024-04-01,"628346.596, 5802461.453",270.32687
2024-04-01,"626522.668, 5801468.468",269.8374
2024-04-01,"627130.645, 5801468.468",269.59012
2024-04-01,"627738.621, 5801468.468",270.0734
2024-04-01,"628346.596, 5801468.468",270.35114
2024-05-01,"626522.668, 5802461.453",280.98898
2024-05-01,"627130.645, 5802461.453",281.33365
2024-05-01,"627738.621, 5802461.453",281.1065
2024-05-01,"628346.596, 5802461.453",281.51624
2024-05-01,"626522.668, 5801468.468",280.9362
2024-05-01,"627130.645, 5801468.468",280.96683
2024-05-01,"627738.621, 5801468.468",281.24954
2024-05-01,"628346.596, 5801468.468",281.4241
2024-11-01,"626522.668, 5802461.453",276.355
2024-11-01,"627130.645, 5802461.453",276.355
2024-11-01,"627738.621, 5802461.453",277.0125
2024-11-01,"628346.596, 5802461.453",277.245
2024-11-01,"626522.668, 5801468.468",276.653
2024-11-01,"627130.645, 5801468.468",276.289
2024-11-01,"627738.621, 5801468.468",276.7015
2024-11-01,"628346.596, 5801468.468",277.7725
2024-01-01,"626522.668, 5802461.453",265.7644
2024-01-01,"627130.645, 5802461.453",265.67938
2024-01-01,"627738.621, 5802461.453",265.88763
2024-01-01,"628346.596, 5802461.453",265.81958
2024-01-01,"626522.668, 5801468.468",265.8197
2024-01-01,"627130.645, 5801468.468",265.81863
2024-01-01,"627738.621, 5801468.468",265.77463
2024-01-01,"628346.596, 5801468.468",265.73633
2024-03-01,"626522.668, 5802461.453",266.87164
2024-03-01,"627130.645, 5802461.453",267.08435
2024-03-01,"627738.621, 5802461.453",266.9973
2024-03-01,"628346.596, 5802461.453",267.408
2024-03-01,"626522.668, 5801468.468",266.92923
2024-03-01,"627130.645, 5801468.468",266.5287
2024-03-01,"627738.621, 5801468.468",267.03918
2024-03-01,"628346.596, 5801468.468",267.12927
2024-12-01,"626522.668, 5802461.453",269.47852
2024-12-01,"627130.645, 5802461.453",269.49863
2024-12-01,"627738.621, 5802461.453",269.01892
2024-12-01,"628346.596, 5802461.453",269.10327
2024-12-01,"626522.668, 5801468.468",269.1295
2024-12-01,"627130.645, 5801468.468",268.90982
2024-12-01,"627738.621, 5801468.468",268.84943
2024-12-01,"628346.596, 5801468.468",269.15884
2024-02-01,"626522.668, 5802461.453",262.42938
2024-02-01,"627130.645, 5802461.453",262.28424
2024-02-01,"627738.621, 5802461.453",262.4521
2024-02-01,"628346.596, 5802461.453",262.69193
2024-02-01,"626522.668, 5801468.468",262.6378
2024-02-01,"627130.645, 5801468.468",262.36615
2024-02-01,"627738.621, 5801468.468",263.06705
2024-02-01,"628346.596, 5801468.468",262.90643
